scenario,arm,day,eligible_mean,eligible_ci,delivered_mean,delivered_ci,n,cross_rate,tie_rate,threshold_med,oracle_med,tracking_ratio_med,observed_mssd_med,n_eval
shift_down,rolling,4,0.68,0.05567704070717066,0.3313333333333333,0.034934799868046665,1500,0.1880232981434292,0.11539861667273389,1.0,1.115974550127919,0.9889992648718362,0.6666666666666666,5494
shift_down,rolling,5,0.7246666666666667,0.05581323337808977,0.374,0.03558551284933004,1500,0.19482819695359546,0.10379029401346086,1.0,1.141773000416378,1.0,0.6666666666666666,5646
shift_down,rolling,6,0.66,0.054969835300581846,0.3333333333333333,0.034615600163287526,1500,0.18176845943482225,0.10337283500455789,1.0,1.093397543185608,1.0,0.6666666666666666,5485
shift_down,rolling,7,0.61,0.05371618544770935,0.2926666666666667,0.03282153053668337,1500,0.16523451485857502,0.11117078410311493,1.0,1.1246827451702615,1.0,0.6666666666666666,5586
shift_down,rolling,8,0.6826666666666666,0.05406649296077707,0.3293333333333333,0.03299778319474732,1500,0.18292682926829268,0.10498409331919406,1.0,1.1267003079373015,1.0,0.6666666666666666,5658
shift_down,rolling,9,0.6493333333333333,0.0524724603220975,0.30933333333333335,0.03213636576244675,1500,0.17716250452406804,0.11093014838943177,1.0666666666666675,1.1365717999508818,1.0,0.6666666666666666,5526
shift_down,rolling,10,0.656,0.05478141022061586,0.348,0.03464053284279334,1500,0.17476750307071415,0.10300052640814178,1.0,1.141773000416378,1.0,0.6666666666666666,5699
shift_down,rolling,11,0.6446666666666667,0.05279799732951303,0.32466666666666666,0.033602635382033556,1500,0.1690067602704108,0.11301785404749523,1.0,1.142342263524141,1.0,0.6666666666666666,5769
shift_down,rolling,12,0.6626666666666666,0.05426143131718357,0.336,0.035234982273389795,1500,0.17333333333333334,0.10476190476190476,1.0,1.139106658855358,1.0,0.6666666666666666,5775
shift_down,rolling,13,0.652,0.053421070443749205,0.3293333333333333,0.03351155071832632,1500,0.1741424802110818,0.11873350923482849,1.0,1.1292683147108535,1.0,0.6666666666666666,5685
shift_down,rolling,14,0.232,0.03040984431504521,0.10266666666666667,0.018401353303353962,1500,0.061682573347472604,0.07864969954047367,1.0,0.6666666666666666,2.0,0.3333333333333333,5658
shift_down,rolling,15,0.13,0.023222689862255716,0.05,0.01289004490788817,1500,0.034813499111900535,0.0719360568383659,1.0,0.6666666666666666,2.0,0.3333333333333333,5630
shift_down,rolling,16,0.14466666666666667,0.024717971859740902,0.07933333333333334,0.017220018434441764,1500,0.03801681850035039,0.07936229852838123,1.0,0.6666666666666666,1.820401388805519,0.3333333333333333,5708
shift_down,rolling,17,0.21866666666666668,0.03159505710415585,0.10466666666666667,0.019412444258733518,1500,0.057507428771193844,0.08617374584862786,1.0,0.6666666666666666,1.585057462088111,0.3333333333333333,5721
shift_down,rolling,18,0.26466666666666666,0.034233293224779186,0.142,0.02266811104503441,1500,0.0711858343766768,0.1087461992487927,0.9333333333333336,0.6666666666666666,1.5,0.3333333333333333,5591
shift_down,rolling,19,0.32666666666666666,0.038729366630462315,0.17066666666666666,0.024811177828203586,1500,0.08809396689802455,0.12956042000355936,0.6666666666666666,0.6666666666666666,1.2640573038748038,0.3333333333333333,5619
shift_down,rolling,20,0.43866666666666665,0.04473570911345461,0.21466666666666667,0.027816335620353648,1500,0.11865322290241267,0.17482895210658986,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,5554
shift_down,rolling,21,0.5413333333333333,0.04998598540408238,0.29333333333333333,0.032201797927845326,1500,0.1466475439225529,0.19343850842595914,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,5578
shift_down,rolling,22,0.552,0.048748858207322956,0.27266666666666667,0.03030334081788064,1500,0.14894755618979666,0.19925080271138065,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,5606
shift_down,rolling,23,0.566,0.04971228666712984,0.2773333333333333,0.03127853624863129,1500,0.1517523572318093,0.1983632805550614,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,5621
shift_down,rolling,24,0.5646666666666667,0.048604658866906014,0.2846666666666667,0.03140984660494541,1500,0.151033386327504,0.20102455396573043,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,5661
shift_down,rolling,25,0.5486666666666666,0.04938438755690975,0.288,0.03243047330862702,1500,0.14556296036478428,0.20080673447913014,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,5702
shift_down,rolling,26,0.6033333333333334,0.05187374545325026,0.29533333333333334,0.03170005936467571,1500,0.15942536790469516,0.1979677645409951,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,5708
shift_down,rolling,27,0.598,0.05206459916564942,0.302,0.0333296769424463,1500,0.1571900539036689,0.1984002782124848,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,5751
shift_down,rolling,28,0.5793333333333334,0.04990255095604372,0.302,0.0328130618703654,1500,0.15482954545454544,0.18572443181818182,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,5632
shift_down,rolling,29,0.594,0.05051821571925731,0.308,0.032904314659900055,1500,0.16009280742459397,0.1866857040870962,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,5603
shift_down,rolling,30,0.5326666666666666,0.04833450856507145,0.274,0.03088708234401624,1500,0.1430350471446362,0.1903575876178616,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,5621
shift_down,rolling,31,0.568,0.05059118001146238,0.27266666666666667,0.03019036928506754,1500,0.15161119915478077,0.18541996830427893,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,5679
shift_down,rolling,32,0.5693333333333334,0.048057827366113186,0.282,0.030422482867450588,1500,0.15069213246889784,0.19817767653758542,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,5707
shift_down,rolling,33,0.5886666666666667,0.05091339903550977,0.304,0.032266532611912944,1500,0.15727741247556423,0.20117291629642794,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,5627
shift_down,rolling,34,0.598,0.051636237757668894,0.286,0.03126970433868072,1500,0.15773861455243413,0.19298551736171699,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,5731
shift_up,emq_anchored,0,0.242,0.02168191016844153,0.12066666666666667,0.016490190815188894,1500,0.3911637931034483,0.11530172413793104,0.8666666666666667,1.142374460701841,0.6091267372963316,0.6666666666666666,928
shift_up,emq_anchored,1,0.9153333333333333,0.05970250074280623,0.4493333333333333,0.038490767653354366,1500,0.2696126143663617,0.15203426124197003,1.0,1.1365717999508818,0.7577771521269608,0.6666666666666666,5137
shift_up,emq_anchored,2,0.87,0.059579358058008666,0.43666666666666665,0.03830910396297176,1500,0.23565170749150724,0.11371357053459681,1.0,1.139106658855358,0.9200000000000003,0.6666666666666666,5593
shift_up,emq_anchored,3,0.73,0.054955069848227574,0.3546666666666667,0.03315295559427068,1500,0.19713518352730527,0.11638316920322292,1.0,1.1148644381551647,0.9666666666666671,0.6666666666666666,5585
shift_up,emq_anchored,4,0.68,0.05567704070717066,0.33066666666666666,0.03423484033926008,1500,0.1880232981434292,0.11539861667273389,1.0,1.115974550127919,0.9889992648718362,0.6666666666666666,5494
shift_up,emq_anchored,5,0.7246666666666667,0.05581323337808977,0.35533333333333333,0.03462236139064996,1500,0.19482819695359546,0.10379029401346086,1.0,1.141773000416378,1.0,0.6666666666666666,5646
shift_up,emq_anchored,6,0.66,0.054969835300581846,0.338,0.03447466269564726,1500,0.18176845943482225,0.10337283500455789,1.0,1.093397543185608,1.0,0.6666666666666666,5485
shift_up,emq_anchored,7,0.6506666666666666,0.05611336629736137,0.3433333333333333,0.035800849428551225,1500,0.17687074829931973,0.07357679914070892,1.0746651519994148,1.1246827451702615,1.0,0.6666666666666666,5586
shift_up,emq_anchored,8,0.7473333333333333,0.057322654249504945,0.368,0.03533685631821372,1500,0.20113114174620006,0.05567338282078473,1.1400000000000003,1.1267003079373015,1.0,0.6666666666666666,5658
shift_up,emq_anchored,9,0.7266666666666667,0.05603695171053094,0.366,0.03522067504890559,1500,0.1992399565689468,0.05157437567861021,1.2333333333333334,1.1365717999508818,1.0,0.6666666666666666,5526
shift_up,emq_anchored,10,0.716,0.05814793256549277,0.35333333333333333,0.03465013272945935,1500,0.19161256360765047,0.04439375329005089,1.2315625916933937,1.141773000416378,1.0,0.6666666666666666,5699
shift_up,emq_anchored,11,0.716,0.05574781946772291,0.3506666666666667,0.03511095484418527,1500,0.18824752990119606,0.04662853180793899,1.2333333333333334,1.142342263524141,1.0,0.6666666666666666,5769
shift_up,emq_anchored,12,0.732,0.05697923259816769,0.36866666666666664,0.035775642916328475,1500,0.19186147186147187,0.04155844155844156,1.2333333333333334,1.139106658855358,1.0,0.6666666666666666,5775
shift_up,emq_anchored,13,0.726,0.057040998007400166,0.372,0.03679496851450073,1500,0.19454705364995603,0.043799472295514515,1.2333333333333334,1.1292683147108535,1.0,0.6666666666666666,5685
shift_up,emq_anchored,14,1.7306666666666666,0.07732026722526396,0.8873333333333333,0.051026562756158446,1500,0.47525627430187345,0.03852951572993991,1.3016904323328635,3.9238025026408967,0.39999999999999997,1.3333333333333333,5658
shift_up,emq_anchored,15,1.8393333333333333,0.07708890087249173,0.9413333333333334,0.05229777682091891,1500,0.5115452930728241,0.03428063943161634,1.4333333333333336,3.909563194395047,0.4386058245553479,1.6666666666666667,5630
shift_up,emq_anchored,16,1.7546666666666666,0.0755152044348527,0.8586666666666667,0.04915187203180534,1500,0.47950245269796776,0.02890679747722495,1.6001042831418064,3.8978798800852426,0.47893888951139907,1.6666666666666667,5708
shift_up,emq_anchored,17,1.7686666666666666,0.07536811307010988,0.892,0.04950630432424976,1500,0.48033560566334554,0.021849327040727146,1.666666666666667,3.8937873308172026,0.5173819315864197,1.6666666666666667,5721
shift_up,emq_anchored,18,1.664,0.07518573218987583,0.8833333333333333,0.05110391656556643,1500,0.4612770524056519,0.01502414594884636,1.8133333333333335,3.908326877436058,0.5459756083132296,1.6666666666666667,5591
shift_up,emq_anchored,19,1.492,0.07238685636329673,0.782,0.04826933047343844,1500,0.4119950169069229,0.009788218544224951,1.953360512370863,3.8978798800852426,0.5751779430824353,1.6666666666666667,5619
shift_up,emq_anchored,20,1.508,0.07552862729297088,0.778,0.04937792915972864,1500,0.42293842275837235,0.009542671948145481,2.100613537917511,3.8662303423396485,0.6023809523809524,1.6666666666666667,5554
shift_up,emq_anchored,21,1.3726666666666667,0.07294848821777741,0.6773333333333333,0.046797723626206086,1500,0.3764790247400502,0.006812477590534241,2.263037365405319,3.9243004150317766,0.6253495098749742,1.6666666666666667,5578
shift_up,emq_anchored,22,1.3833333333333333,0.07100085325019917,0.6886666666666666,0.045572859662254765,1500,0.3808419550481627,0.01088119871566179,2.249502836319875,3.8779659267153224,0.6411729286930902,1.6666666666666667,5606
shift_up,emq_anchored,23,1.4173333333333333,0.07167343801036498,0.6953333333333334,0.045725562159404515,1500,0.38925458103540295,0.005692937199786515,2.3000000000000003,3.872041443505997,0.6583333333333334,1.6666666666666667,5621
shift_up,emq_anchored,24,1.386,0.07262957962873612,0.682,0.04729677527098463,1500,0.3762586115527292,0.005829358770535241,2.416666666666667,3.8577784632664813,0.6710440502163535,1.6666666666666667,5661
shift_up,emq_anchored,25,1.3473333333333333,0.07099430772338808,0.6493333333333333,0.046278613654718345,1500,0.362504384426517,0.004209049456331112,2.516666666666667,3.8937873308172026,0.6877294215979686,1.6666666666666667,5702
shift_up,emq_anchored,26,1.34,0.07022680800835268,0.644,0.04413084469710761,1500,0.360021023125438,0.0026278906797477224,2.5333333333333337,3.8937873308172026,0.7025818329829832,1.6666666666666667,5708
shift_up,emq_anchored,27,1.33,0.0710858261603421,0.6646666666666666,0.04621910038835265,1500,0.35524256651017216,0.0026082420448617634,2.57,3.879037404827728,0.7137495139569379,1.6666666666666667,5751
shift_up,emq_anchored,28,1.2653333333333334,0.06857490104927186,0.6146666666666667,0.043020896214643306,1500,0.3426846590909091,0.003018465909090909,2.6211683634600886,3.883250172700452,0.7222630988606236,1.6666666666666667,5632
shift_up,emq_anchored,29,1.23,0.06908688679848894,0.63,0.04451158831506188,1500,0.3374977690522934,0.0030340888809566305,2.6953719362113584,3.908326877436058,0.7361904761904762,1.6666666666666667,5603
shift_up,emq_anchored,30,1.1206666666666667,0.066201342791398,0.5513333333333333,0.041024016221361675,1500,0.3049279487635652,0.001779042874933286,2.670178288645121,3.8779659267153224,0.7450509520342066,1.6666666666666667,5621
shift_up,emq_anchored,31,1.1653333333333333,0.06742669070483533,0.5946666666666667,0.04377441643006676,1500,0.31519633738334213,0.0022891354111639374,2.6675228276460152,3.8662303423396485,0.7396978922409201,1.6666666666666667,5679
shift_up,emq_anchored,32,1.2333333333333334,0.06990656279671988,0.6273333333333333,0.04514103083512885,1500,0.32889434028386194,0.0026283511477133343,2.6414963760578014,3.8577784632664813,0.7472083188510947,1.6666666666666667,5707
shift_up,emq_anchored,33,1.1786666666666668,0.06759270936777739,0.6,0.04378305422449211,1500,0.3197085480717967,0.0031988626266216454,2.7333333333333334,3.9099507717325643,0.7518699423634864,1.6666666666666667,5627
shift_up,emq_anchored,34,1.1533333333333333,0.067575215666995,0.5746666666666667,0.04320635634088894,1500,0.3074507066829524,0.00279183388588379,2.7333333333333334,3.9238025026408967,0.7550000000000001,1.6666666666666667,5731
shift_up,emq_decaying,0,0.242,0.02168191016844153,0.118,0.016331668316290557,1500,0.3911637931034483,0.11530172413793104,0.8666666666666667,1.142374460701841,0.6091267372963316,0.6666666666666666,928
shift_up,emq_decaying,1,0.9153333333333333,0.05970250074280623,0.456,0.03793066245038226,1500,0.2696126143663617,0.15203426124197003,1.0,1.1365717999508818,0.7577771521269608,0.6666666666666666,5137
shift_up,emq_decaying,2,0.87,0.059579358058008666,0.446,0.03785243189898255,1500,0.23565170749150724,0.11371357053459681,1.0,1.139106658855358,0.9200000000000003,0.6666666666666666,5593
shift_up,emq_decaying,3,0.73,0.054955069848227574,0.35333333333333333,0.03474860810629732,1500,0.19713518352730527,0.11638316920322292,1.0,1.1148644381551647,0.9666666666666671,0.6666666666666666,5585
shift_up,emq_decaying,4,0.68,0.05567704070717066,0.34,0.03454807995786074,1500,0.1880232981434292,0.11539861667273389,1.0,1.115974550127919,0.9889992648718362,0.6666666666666666,5494
shift_up,emq_decaying,5,0.7246666666666667,0.05581323337808977,0.37133333333333335,0.03570489345147653,1500,0.19482819695359546,0.10379029401346086,1.0,1.141773000416378,1.0,0.6666666666666666,5646
shift_up,emq_decaying,6,0.66,0.054969835300581846,0.31333333333333335,0.03318942187518284,1500,0.18176845943482225,0.10337283500455789,1.0,1.093397543185608,1.0,0.6666666666666666,5485
shift_up,emq_decaying,7,0.6506666666666666,0.05611336629736137,0.31466666666666665,0.03437150903280941,1500,0.17687074829931973,0.07357679914070892,1.0746651519994148,1.1246827451702615,1.0,0.6666666666666666,5586
shift_up,emq_decaying,8,0.7466666666666667,0.0572703817897712,0.366,0.03483044189035037,1500,0.20077765995051255,0.060268646164722516,1.1396515497472894,1.1267003079373015,1.0,0.6666666666666666,5658
shift_up,emq_decaying,9,0.7353333333333333,0.05646209503727979,0.378,0.037763137347380196,1500,0.20159247195077815,0.05157437567861021,1.2113355216615782,1.1365717999508818,1.0,0.6666666666666666,5526
shift_up,emq_decaying,10,0.7146666666666667,0.05801351994330538,0.3626666666666667,0.036755138024439686,1500,0.19126162484646428,0.02456571328303211,1.2011269916242948,1.141773000416378,1.0,0.6666666666666666,5699
shift_up,emq_decaying,11,0.7273333333333334,0.05603003025508895,0.37866666666666665,0.03610342189594423,1500,0.19084763390535622,0.04662853180793899,1.1914115830684489,1.142342263524141,1.0,0.6666666666666666,5769
shift_up,emq_decaying,12,0.726,0.05649928184744737,0.364,0.035297961973142535,1500,0.18978354978354978,0.04155844155844156,1.1821654758363325,1.139106658855358,1.0,0.6666666666666666,5775
shift_up,emq_decaying,13,0.7233333333333334,0.056647221977467126,0.3526666666666667,0.03483959713522755,1500,0.1938434476693052,0.04643799472295514,1.1733660003993107,1.1292683147108535,1.0,0.6666666666666666,5685
shift_up,emq_decaying,14,1.7306666666666666,0.07720970506287746,0.8413333333333334,0.05072900326414903,1500,0.4750795334040297,0.03817603393425239,1.2519705625869428,3.9238025026408967,0.39999999999999997,1.3333333333333333,5658
shift_up,emq_decaying,15,1.8166666666666667,0.07667003579529506,0.912,0.05059658308942079,1500,0.5046181172291296,0.03712255772646537,1.5096449775262253,3.909563194395047,0.44313899762177245,1.6666666666666667,5630
shift_up,emq_decaying,16,1.7206666666666666,0.0744929060440871,0.8746666666666667,0.05140149946344614,1500,0.4695164681149264,0.031709880868955855,1.6666666666666667,3.8978798800852426,0.4959249166086155,1.6666666666666667,5708
shift_up,emq_decaying,17,1.7406666666666666,0.07508867615430362,0.876,0.04985762311700663,1500,0.47299423177766126,0.014333158538717007,1.7866726105142168,3.8937873308172026,0.5436441100585361,1.6666666666666667,5721
shift_up,emq_decaying,18,1.5806666666666667,0.07390897834063605,0.836,0.0507528874842801,1500,0.4365945269182615,0.01502414594884636,1.9052561001302535,3.908326877436058,0.5796569627046545,1.6666666666666667,5591
shift_up,emq_decaying,19,1.3986666666666667,0.0709167502355302,0.698,0.047095501317436596,1500,0.38476597259298806,0.009788218544224951,2.0099331735829917,3.8978798800852426,0.6144363593017813,1.6666666666666667,5619
shift_up,emq_decaying,20,1.4033333333333333,0.07355844068079148,0.6986666666666667,0.04741373044680743,1500,0.39106949945984876,0.009542671948145481,2.313239839376402,3.8662303423396485,0.6505470311629128,1.6666666666666667,5554
shift_up,emq_decaying,21,1.2473333333333334,0.06930403739187223,0.6393333333333333,0.044936184568086915,1500,0.3406238795267121,0.007350304768734313,2.491851943607629,3.9243004150317766,0.6809439096902004,1.6666666666666667,5578
shift_up,emq_decaying,22,1.248,0.06826709617387679,0.6246666666666667,0.044126805268191946,1500,0.3415982875490546,0.01088119871566179,2.5190304481152257,3.8779659267153224,0.695267755079704,1.6666666666666667,5606
shift_up,emq_decaying,23,1.2706666666666666,0.0694132850593616,0.638,0.044908699683597106,1500,0.3467354563244974,0.005692937199786515,2.6666666666666665,3.872041443505997,0.7275286253942441,1.6666666666666667,5621
shift_up,emq_decaying,24,1.22,0.06977282951473537,0.6093333333333333,0.044308060752994524,1500,0.3303303303303303,0.005829358770535241,2.748591260469632,3.8577784632664813,0.7530403749566315,1.6666666666666667,5661
shift_up,emq_decaying,25,1.172,0.06763701322907557,0.5733333333333334,0.04301406492457677,1500,0.3132234303753069,0.004209049456331112,2.856441312698663,3.8937873308172026,0.7784629529354063,1.6666666666666667,5702
shift_up,emq_decaying,26,1.146,0.06612215123853603,0.5593333333333333,0.0429501875243398,1500,0.3055360896986685,0.002803083391730904,2.9448280305956924,3.8937873308172026,0.7995282893665601,1.6666666666666667,5708
shift_up,emq_decaying,27,1.1426666666666667,0.06750863752190342,0.5973333333333334,0.04391532223735507,1500,0.30446878803686317,0.002434359241870979,2.986601332534712,3.879037404827728,0.816514619093687,1.6666666666666667,5751
shift_up,emq_decaying,28,1.068,0.06410220138613311,0.5366666666666666,0.042294072903566744,1500,0.2888849431818182,0.0031960227272727275,3.044598064348827,3.883250172700452,0.8351277315063242,1.6666666666666667,5632
shift_up,emq_decaying,29,1.06,0.06475897860688357,0.5326666666666666,0.04254411295613149,1500,0.28859539532393363,0.001784758165268606,3.1135029685367153,3.908326877436058,0.8494484611526066,1.6666666666666667,5603
shift_up,emq_decaying,30,0.9306666666666666,0.06112418743788291,0.48333333333333334,0.04051139040078943,1500,0.2520903753780466,0.002134851449919943,3.0951439860595067,3.8779659267153224,0.8701802103915652,1.6666666666666667,5621
shift_up,emq_decaying,31,0.9893333333333333,0.06379181298930323,0.508,0.0421305699715602,1500,0.26465927099841524,0.002817397429124846,3.1342277698132692,3.8662303423396485,0.8682801329901394,1.6666666666666667,5679
shift_up,emq_decaying,32,1.018,0.0642811929988859,0.49266666666666664,0.040518474969404604,1500,0.2698440511652357,0.0026283511477133343,3.11677584791677,3.8577784632664813,0.8764035854879106,1.6666666666666667,5707
shift_up,emq_decaying,33,0.952,0.062201378146808296,0.4786666666666667,0.03982518988645571,1500,0.2566198684912031,0.0031988626266216454,3.182480116147869,3.9099507717325643,0.8900228018326225,1.6666666666666667,5627
shift_up,emq_decaying,34,0.936,0.062164450856043836,0.4726666666666667,0.03994431774198312,1500,0.24725178851858315,0.003140813121619264,3.2107450588237914,3.9238025026408967,0.8939840225490935,1.6666666666666667,5731
shift_up,expanding,0,0.242,0.02168191016844153,0.12866666666666668,0.016950419238366515,1500,0.3911637931034483,0.11530172413793104,0.8666666666666667,1.142374460701841,0.6091267372963316,0.6666666666666666,928
shift_up,expanding,1,0.9153333333333333,0.05970250074280623,0.468,0.038719013103605114,1500,0.2696126143663617,0.15203426124197003,1.0,1.1365717999508818,0.7577771521269608,0.6666666666666666,5137
shift_up,expanding,2,0.87,0.059579358058008666,0.418,0.037677984542575677,1500,0.23565170749150724,0.11371357053459681,1.0,1.139106658855358,0.9200000000000003,0.6666666666666666,5593
shift_up,expanding,3,0.73,0.054955069848227574,0.36666666666666664,0.03424342305947281,1500,0.19713518352730527,0.11638316920322292,1.0,1.1148644381551647,0.9666666666666671,0.6666666666666666,5585
shift_up,expanding,4,0.68,0.05567704070717066,0.34,0.034399400111643164,1500,0.1880232981434292,0.11539861667273389,1.0,1.115974550127919,0.9889992648718362,0.6666666666666666,5494
shift_up,expanding,5,0.7246666666666667,0.05581323337808977,0.36,0.03481901080521119,1500,0.19482819695359546,0.10379029401346086,1.0,1.141773000416378,1.0,0.6666666666666666,5646
shift_up,expanding,6,0.66,0.054969835300581846,0.32066666666666666,0.033138574384958645,1500,0.18176845943482225,0.10337283500455789,1.0,1.093397543185608,1.0,0.6666666666666666,5485
shift_up,expanding,7,0.602,0.05346982086712443,0.28733333333333333,0.03294207620462412,1500,0.16308628714643753,0.11242391693519513,1.0,1.1246827451702615,1.0,0.6666666666666666,5586
shift_up,expanding,8,0.6693333333333333,0.054051322693902164,0.32666666666666666,0.03383182447771506,1500,0.17903852951572993,0.10975609756097561,1.0,1.1267003079373015,1.0,0.6666666666666666,5658
shift_up,expanding,9,0.6413333333333333,0.052431548690461176,0.31733333333333336,0.03324641029665043,1500,0.17517191458559536,0.10477741585233442,1.133333333333334,1.1365717999508818,1.0,0.6666666666666666,5526
shift_up,expanding,10,0.6093333333333333,0.053973508153154263,0.2966666666666667,0.032624798608554786,1500,0.16178276890682575,0.10879101596771364,1.0,1.141773000416378,1.0,0.6666666666666666,5699
